no		aptName		address_full	address_si (city)	address_gu	address_dong	address_detail	address_street	address_streetno									towers	units	contractor	developer	date_approval																					x	y	date_applied	year_approval	aptName_keys	gu_key	gu_trans	dong_key	dong_trans	streetname_key	streetname_trans	prompt_setup	result
40252	A10023855	강동리엔파크13단지아파트	아파트	서울특별시 강동구 고덕로98길 161	서울	강동구	상일동		고덕로98길	161	24276622	24276623			임대	위탁관리	혼합식	지역난방	10	675	KR산업	서울주택도시공사	2022-04-15 0:00:00	75185	33682	74827	675	0	0		www.gdrienpark13.aptstory.com/	2022-04-20 22:06:37	2022-09-02 2:32:13		위탁	종합계약	위탁	6591.16	626	임대	2022-05-02 11:30:58	Y	N			2022-05-02 10:43:49	2022	강동 리엔파크 13단지	강동	강의 동쪽	상일	게 있는 개울의 위쪽	고덕	덕이 높은 곳	강동 리엔파크 13단지 아파트는 서울시 강동구 상일동 고덕로98길에, 그러니까 강의 동쪽에 위치한, 게 있는 개울의 위쪽이자 덕이 높은 곳에 자리하고 있다.	\"어린이들에게 꿈을 선물하세요!\" 1년 중 가장 춥다는 1월 4일 서울에서도 남쪽으로 한참 떨어진 이곳 강동리엔파크 단지 입구를 들어서자 마자 눈 앞에 펼쳐지던 광경이다. 그 겨울에도 따뜻함 때문인지 아이들의 웃음소리와 뛰노는 소리 그리고 재잘거리며 떠드느라 정신 없었는데 그날 역시 그랬고 지금 현재까지 많지는 않아도 꾸준히 이어지긴 하겠지만 아직까진 그런 풍경들이 자주 목격된다. 물론 여기서 끝나지 않았으며 항상 이랬으면 좋겠다 싶기도 하다. 하지만 이런 모습만이라도 가끔씩 보이면 참 다행이라고 생각되기 마련인데 그렇다고 해서 이게 무슨 상관인가? 라는 말은 하지 말자.. 사실 우리나라 사람들 대부분이 이렇게 살 수 밖에 없도록 만들어 놓고선 정작 본인 스스로 자신만을 탓하면 되는가... 나조차 그러지도 못할뿐더러 다른 누구보다 사회적 책임감과 도덕성을 중요시해왔기에 더더욱 죄책감마저 들게 한다.[EOS]
19982	A10026299	래미안로이파크아파트	아파트	서울특별시 동작구 사당로23길 112	서울	동작구	사당동	생활지원센터	사당로23길	112	25959481	25959483			임대+분양	위탁관리	계단식	개별난방	6	668	삼성물산(주)	사당1 주택재건축정비사업	2018-12-27 0:00:00	117328	53753	68673	158	486	24			2018-05-16 11:44:43	2022-09-12 23:41:34		위탁	종합계약	위탁	4902.75	873	의무	2018-10-29 10:06:29	Y	N	126.9742217	37.48754348	2018-05-16 11:44:43	2018	래미안 로이파크	동작	구릿빛 참새가 많던 곳	사당	큰 사당이 있던 곳	사당	큰 사당이 있던 곳	래미안 로이파크 아파트는 서울시 동작구 사당동 사당로23길에, 그러니까 구릿빛 참새가 많던 곳에 위치한, 큰 사당이 있던 곳에 자리하고 있다.	\"사당역에서 내리면 바로 보이는데 왜 그 근처엔 이런 좋은 학교들이 없을까?\" 하고 말이다(물론 농담). 하지만 아무리 생각해도 우리나라 교육제도상으로 볼 때 이수연 씨에게 어울리기 힘든 선택지가 하나 더 남아있었으니 그것이야말로 \'아파트\'였다는 것도 사실일 터인데... 어쨌든 그녀와 같잖게 현실적인 사람들에겐 분명 매력적이게 들릴 수밖에 없으리라! 그리고 실제로 <이수연의 꿈꾸라>라는 팟캐스트 방송에도 소개된 적이 있다고 한다. (팟캐스트 링크) 아무튼 그런 이유로 나 역시 처음부터 끝까지 관심 두며 듣다가 문득 궁금해져서 찾아본 책이기도 하다. 그런데 읽어보니 저자의 개인사도 알 만해서 더욱 흥미롭기도 했지만 무엇보다 재미있어서 다 보지도 않고서 그냥 그대로 추천할 정도인 걸 어쩌랴~ 저자 이수연이 쓴 『꿈꾸지 마』 표지. 일단 제목에서부터 느껴지는 느낌대로 귀엽고도 발랄하다^^ 게다가 첫 번째 사진처럼 예쁜 일러스트 표지의 뒷면에선 이렇게 귀여운 동물 캐릭터 이미지들도 만날 수가 있어 더더욱 즐겁다!!
40133	A10024562	고덕센트럴푸르지오	주상복합	서울특별시 강동구 고덕로 399	서울	강동구	고덕동		고덕로	399	24419005	24429005			임대+분양	위탁관리	혼합식	지역난방	4	656	(주)대우건설	아시아신탁(주)	2020-08-20 0:00:00	125594	36076	51130	651	5	0			2020-11-18 20:36:24	2022-09-02 2:28:09		위탁	종합계약	위탁	8390.59	656	의무	2020-12-02 14:02:16	Y	N	127.17017	37.557703	2020-12-01 17:25:25	2020	고덕 센트럴 푸르지오	강동	강의 동쪽	고덕	덕이 높은 곳	고덕	덕이 높은 곳	고덕 센트럴 푸르지오 아파트는 서울시 강동구 고덕동 고덕로에, 그러니까 강의 동쪽에 위치한, 덕이 높은 곳에 자리하고 있다.	\"강동구가 세계적인 명품 도시로 거듭난다!\" 그 꿈 속에서 우리들도 한 번 살아보자 하며....... 내 집 마련 계획으로 이곳 저곳 알아보던 중 우연히 알게된 \'사랑하니까 괜찮아\'라는 카페를 통해서 부동산 전문가들의 모임터 임장활동이란 것에도 참여해 보았는데 나같으면 좀 더 자세히 알아볼텐데 왜 그리 무식한지 한심스럽기만 했다..ᄒ 그래서 인터넷 검색해서 찾아 본 후 여기 저기 전화하여 상담 요청하니 친절하시면서도 자세하셔서 감동받았었지^^ 그러다가 바로 옆 단지 상가내 점포 하나 두개 분양한다는 이야기 듣고는 직접 가보니 너무 좋아서 계약했다는 분이 계셔서 더욱 믿음직스러웠었어~ 그런데 생각보다 가격들이 너무나 착했었기 때문인지 다른 분한테 소개시켜 주시려고 하시길래 패스~~ 그리고 나서 며칠 뒤 다시 가게 된 그곳에선 같은 동네인데도 주변 환경이나 여건 등이 많이 달랐더라 ᅲᅮ 역시 공부해야 돼~~~~!! 그래도 조금이라도 싸면 또 가봐야지하면서 이것저것 물어보고 다녔더니 어느날인가부터 갑자기 매물 나오기가 무섭도록 문의전화와 방문 예약 손님까지 북적북적이어서 도대체...
21721	A10025387	항동하버라인2단지	아파트	서울특별시 구로구 연동로 234	서울	구로구	항동	항동하버라인2단지 관리사무소	연동로	234	220661599	220660599			임대+분양	위탁관리	계단식	지역난방	6	646	계룡건설	서울주택도시공사	2019-07-15 0:00:00	91223	42318	59327	447	199	0			2019-08-06 2:32:32	2022-09-12 19:54:10		위탁	종합계약	위탁	6240.71	740	의무	2019-08-07 11:25:25	Y	N	126.8221425	37.48172806	2019-08-06 2:32:32	2019	항동 하버라인 2단지	구로	9명의 장수한 노인이 살던 곳	항	풍수지리상 배 모양의 지형	연동	옥연동과 항동이 만나는 곳	항동 하버라인 2단지 아파트는 서울시 구로구 항동 연동로에, 그러니까 9명의 장수한 노인이 살던 곳에 위치한, 풍수지리상 배 모양의 지형이자 옥연동과 항동이 만나는 곳에 자리하고 있다.	<옥탑방 고양이>가 출간되었는데 그 책을 읽어보면 알겠지만 작가 지망생 김래원(26세)은 \'나\'와 함께 동거하면서 자신도 모르게 점점 더 사랑스러워지는 여자친구 정은과의 미래 계획까지 세워놓았다고 한다. 그런데 문제는 여기서 발생한다! 바로 아버지로부터 물려받아 소유했다는 부동산이다!! (참고; http://bloggernewsfoto/1028753). 그리고 그런 이유 때문인지 몰라도 부모님들께서 계속해서 집 관리할 능력이나 여력들이 안 되시는지 자꾸만 이사가시라고 하신다.. 그래서 지금 현재 거주 중인 서울 양천구 목동에서 경기도 부천으로 이사가야 하나 말아야하나 고민중인데... 이런 상황 속에서 나에게 어떤 일이라도 생기지 않을까 걱정하시며 노심초사 하시다가 급기야 어머니께 전화하여 \"아버지한테 다 말씀드려서 어떻게 좀 해보세요\" 라고 하신 것 같은데.... 아무리 생각해도 잘 이해 못 할 뿐더러 정말 답답해 죽겠다 ᅲᅳᅮ;; 도대체 왜 그러신건지?
40213	A10024086	DMC SK뷰 1단지 아파트	아파트	서울특별시 은평구 수색로 216	서울	은평구	수색동		수색로	216	23030134	23030135			임대+분양	위탁관리	계단식	개별난방	6	644	에스케이건설(주)	수색9재정비촉진구역 주택재개발정비사업조합	2021-10-29 0:00:00	101631	45606	63877	333	261	50			2021-11-05 15:19:21	2022-09-12 12:17:17		직영	종합계약	직영	4304.51	785	의무	2021-11-23 9:00:23	Y	N	126.8959227	37.5810965	2021-11-22 15:02:13	2021	DMC SK뷰 1단지	은평	은혜와 평화의 땅	수색	장마철에 물이 차오르던 곳	수색	장마철에 물이 차오르던 곳	DMC SK뷰 1단지 아파트는 서울시 은평구 수색동 수색로에, 그러니까 은혜와 평화의 땅에 위치한, 장마철에 물이 차오르던 곳에 자리하고 있다.	나도 언젠가 이곳에서 살 수있을까? (출처 - http://www2u/bbs_list1/BBSMSTR) 글은 서울시의회 홈페이지에다가 올렸는데 그 이후 한 달 정도 뒤인 2013년 7월 15일 오후 3시 27분 경부터 페이스북 페이지에도 올리게 되었습니다ᄒ 시의회가 직접 운영하지는 않지만 그래도 시민들에게 친근해야만 하기에 홍보 차원으로 올린 것 같네요^^; 그리고 저 위 링크글 내용 중 마지막 부분입니다 \"나라도 여기서 살수 없다면\".. 제 개인적인 생각입니다만... 좀 많이 울컥했고 마음 아팠어요ᅲ 여러분들께서도 같이 공감해주시면 감사드리겠습니당! 아 참!! 댓글 남겨주신 분들이 계셔서 추가합니다~ 현재 네이버 인물정보 기준 저 \'김예림\' 선수 프로필 사진 하단부에 보니까 예전사진이랑 최근 모습(2013년도 4월경 쯤인듯 합니다), 또 다른 지역의 모 대학교 농구선수였다고 나오더군요;; 사실 예전의 김별님이라고 아시는 분도 계시던데 그건 아닌데.... 뭐 아무튼 참고하시길 바랍니다 ᄏ 출처-http://goo.gl
40148	A10024470	신길파크자이	아파트	서울특별시 영등포구 신길로28길 25	서울	영등포구	신길동		신길로28길	25	269527668	269527669			임대+분양	위탁관리	혼합식	개별난방	6	641	GS건설	신길8 주택재개발 정비사업조합	2022-02-17 0:00:00	9591851	46581	63294	264	363	14		http://sgpark.xisnd.co.kr	2021-01-22 17:28:55	2022-09-12 22:11:20		위탁	종합계약	위탁	468705	850	의무	2021-05-07 17:05:04	Y	N	126.913341	37.503191	2021-05-07 10:42:01	2022	신길 파크 자이	영등포	영등굿을 하던 포구	신길	새로 생긴 마을	신길	새로 생긴 마을	신길 파크 자이 아파트는 서울시 영등포구 신길동 신길로28길에, 그러니까 영등굿을 하던 포구에 위치한, 새로 생긴 마을에 자리하고 있다.	\"나에게 꼭 필요했지만 다른 아이들이 갖지 못하게 된 것... 그런 게 많았어요\" (김예은양 인터뷰) 6학년 3반 김 예 은 양(13세), 그 꿈이 이루어졌습니다! 서울 영등포구의 한 동네에서 새로운 건물 하나를 발견할 수있었는데 바로 \'파크자이\'였죠~!! 그런데 뭔가 좀 이상합니다..? 네 그렇답니다! 무슨 이유인지 모르겠으나 새건물임에도 불구하고 주변 환경도 많이 낙후되어있는 모습입니다ᅲ_ ᅮ 하지만 저와 같으신 분들 분명 계실거에요,, 왜일까?? 도대체 무엇때문이지??? 이러고 계신분 분명히 계시지요?! 그래서 준비해봤씁니다~~!!! 제1부 - 이곳 저곳 살펴보기 지금부터 보실 곳 다 하나하나 자세하게 설명 드리도록 할께요오~~~~^^* 우선 가장 먼저 소개시켜드릴곳!바로 우리집앞 초등학교 입니다 ~ 여기서 잠깐 학교소개 해드리자면요 ^^ *초림초교 병설유치원 서울특별시 구로구 신도림동 430-19번지 1층 070 - 8883 – 2222 앞으로 저희동네 정말 좋아지겠어요 ~~
40002	A10025193	항동 한양수자인 에듀힐즈	아파트	서울특별시 구로구 항동로 42	서울	구로구	항동		항동로	42	226173016	226173018			분양	위탁관리	계단식	지역난방	9	634	한양건설(주)	국제자산신탁(주)	2019-09-27 0:00:00	99766	54404	70273	0	531	103			2019-12-11 13:19:12	2022-09-12 19:56:58	141811706200	위탁	종합계약	위탁	7440.21	816	의무	2019-09-27 0:00:00	Y	N	126.8232922	37.4772261	2019-12-11 13:19:12	2019	항동 한양 수자인 에듀힐즈	구로	9명의 장수한 노인이 살던 곳	항	풍수지리상 배 모양의 지형	항동	풍수지리상 배 모양의 지형	항동 한양 수자인 에듀힐즈 아파트는 서울시 구로구 항동 항동로에, 그러니까 9명의 장수한 노인이 살던 곳에 위치한, 풍수지리상 배 모양의 지형이자 풍수지리상 배 모양의 지형에 자리하고 있다.	\"저에게도 이런 집에서 살아보고 싶은 로망이 생겼어요!\" 그가 말하길 \'살고싶다는 생각\'만으로 입주할 순 없다고 한다. 왜냐하면 이미 다른 사람들이 먼저 계약했기 때문이다(웃음). 하지만 저처럼 마음 속 깊이 소망해 온 분들께 추천합니다!![EOS]
17877	A10027227	돈암코오롱하늘채아파트	아파트	서울특별시 성북구 아리랑로 75	서울	성북구	돈암동	돈암코오롱하늘채아파트관리사무소	아리랑로	75	29277650	29277652			임대+분양	위탁관리	혼합식	개별난방	10	629	돈암정릉구역주택재개발정비사업조합	코오롱건설	2016-12-29 0:00:00	98373	45972	96119	246	367	16			2017-04-17 22:01:52	2022-09-12 8:40:53		위탁	종합계약	위탁	6461.29	690	의무	2017-10-25 17:31:59	Y	N	127.0136836	37.59884593	2017-04-17 22:01:52	2016	돈암 코오롱 하늘채	성북	성곽의 북쪽	돈암	험준한 고개	아리랑	아리랑고개를 넘어가는 길	돈암 코오롱 하늘채 아파트는 서울시 성북구 돈암동 아리랑로에, 그러니까 성곽의 북쪽에 위치한, 험준한 고개이자 아리랑고개를 넘어가는 길에 자리하고 있다.	◆ 교통은 불편해도 살기 좋아 = 지하철 4호선 성신여대역에서 내려 도보로 10여분 정도 걸으면 도착한다(도보로 가기에 약간 멀지만 버스 등 대중교통수단으로 이용하면 쉽게 갈 수있고 또한 자가용 승용차나 택시가 다니기도 한다). 이곳 주변 환경과 입지 여건만 보면 서울 어느 곳보다 주거환경이나 생활여건 면에선 훨씬 낫다고 할 것이다. 또 성북천 복원공사와 함께 공원 등이 많이 조성되어 쾌적하며 공기 역시 매우 맑다는 느낌마저 든다.. 게다가 북한산 국립공원 바로 뒤편이어서 등산코스로서의 가치까지 지니니 금상첨화가 아닐 수없겠다. 특히 산 능선길 곳곳마다 도시가스배관시설 및 상수도 배관 시설들이 잘 갖춰져 있어서 여름에도 시원함을 느낄수있는 지역이기도 하다. 그래서인지 몰라도 동네주민들 사이엔 나름대로 자부심 섞인 말 한마디씩 주고받곤 하는데 그중 한가지 흥미로운 사실 하나! \"이곳처럼 녹지비율이라든지 조경등 나무랄데 없으면서 주민들의 편의성 배려해서 만든 집 치고는 너무 비싸지 않느냐\" 는 불평 아닌 푸념이라고 할까?
18061	A10026947	꿈의숲롯데캐슬아파트	아파트	서울특별시 강북구 오현로 56	서울	강북구	미아동	관리사무소	오현로	56	29856031	29456030			임대+분양	위탁관리	복도식	개별난방	11	615	롯데건설(주)	미아제4구역재개발정비사업조합	2017-02-27 0:00:00	93239	45906	59451	205	386	24			2017-07-11 22:35:21	2022-09-12 10:20:29		위탁	종합계약	위탁	59450.35	716	의무	2017-09-04 18:49:34	Y	N	127.0356136	37.61715924	2017-07-11 22:35:21	2017	꿈의숲 롯데캐슬	강북	강의 북쪽	미아	미륵보살이 있던 고개	오현	머귀나무 길	꿈의숲 롯데캐슬 아파트는 서울시 강북구 미아동 오현로에, 그러니까 강의 북쪽에 위치한, 미륵보살이 있던 고개이자 머귀나무 길에 자리하고 있다.	북한산과 도봉산 사이를 흐르고 흘러 중랑천과 합류하게 될 영랑호와 같은 강줄기가 펼쳐진 곳에서 살았으면 좋겠다 싶은데 그게 가능할지 모르겠지만 말이다. 꿈만으로도 즐거운 일 아니던가? 그런데 이런 멋진 풍광 속에다 내 집까지 갖는다는 건 그야말로 행운일 것인데 그런 기회가 내겐 없었다는 게 못내 아쉽기만 하다(나로서야 전혀 부럽지 않다고 하면 거짓된 소리일까마는). 그러나 어쩌랴! 이것 또한 운명이니 받아들이자고 생각하면 그리 마음 편치 못할 이유 하나쯤이야 어찌 되든간 무슨 상관이란 말인가?! 그래서 그런지 내게는 \'롯데아파트\'라는 이름보다 그냥 우리말로 풀어 쓴 한자의 표기로 다가오니 더 친숙했는지 모른다. 그저 그 정도 차이밖에 나지 않아선지 몰라도...... 사실 이곳 주변엔 나말고는 아무도 이사 오겠다는 이가 아직껏 나타나질 않는다. 그러기는커녕 오히려 집값이나 좀 올랐느냐고 묻는다면 할 얘기조차 별로 많지는 안다만 그렇다면 이해되고도 남음있어 보인다^^* <강북구 미아동의 뉴타운 현장> \"저 푸른 초원 위 그림같은 집들이~\" 아마도 오래 전부터 귀 따갑도록 들어온...
21321	A10025562	신길센트럴아이파크	아파트	서울특별시 영등포구 가마산로 426	서울	영등포구	신길동		가마산로	426	28334702	28334707			임대+분양	위탁관리	혼합식	개별난방	6	612	HDC현대산업개발	신길14 재정비촉진구역 주택재개발 정비사업조합	2019-02-28 0:00:00	84690	41301	57554	372	240	0		singil-ipark4702	2019-05-09 5:17:58	2022-09-12 22:09:20	91921165861	위탁	종합계약	위탁	4837.43	673	의무	2019-02-28 0:00:00	Y	N	126.9037603	37.50411923	2019-05-09 5:17:58	2019	신길 센트럴 아이파크	영등포	영등굿을 하던 포구	신길	새로 생긴 마을	가마산	가마고지를 지나는 길	신길 센트럴 아이파크 아파트는 서울시 영등포구 신길동 가마산로에, 그러니까 영등굿을 하던 포구에 위치한, 새로 생긴 마을이자 가마고지를 지나는 길에 자리하고 있다.	\"우리 집은 앞으로도 쭉~ 잘 나갈 것이다\"라고 말하곤 한다. 그런데 그 \'잘 나가게\' 되기 위해서는 주변 환경이나 여건들보다 우선적일 수 밖엔 없겠지만 우리가 살고있는 동네 중에서 가장 으뜸이라 할 만한 곳 중의 하나라는 평에도 불구하고 주거환경개선사업지구(뉴타운) 내에 포함되어 개발될 예정이기 때문이기도 하다 (물론 계획대로 진행될지 아닐지는 모르겠다). 그래도 어쨌든 서울 안에선 이런저런 호재들이 많아서 좋다고 생각해왔는데 그것만 믿다가 뒤통수 맞았다는 느낌? 하지만 아직까지 확정된건 아무것도 없이 소문뿐이니 뭐라 단정짓긴 힘들어서 일단 긍정적인 면부터 보기로 했달까; 그래서 영등포 푸르지오 써밋 입주시기 즈음해서 방문했더니 아주 그냥 난리법석이었으니... ᄒᄉᄏ 암튼 이곳 신풍역 역세권아파트라고도 불리기도 한단다 그리고 이렇게 공원처럼 꾸며진 곳도 바로 여기! 사실 여의도 더샵아일랜드파크와 함께 조성됐으면 어땠을까 싶은데 현재로서 그곳 역시 착공예정상태라서 딱히 부럽진 않다만.... 보라매공원과도...
20501	A10026004	신반포자이아파트	아파트	서울특별시 서초구 잠원로 60	서울	서초구	잠원동		잠원로	60	25348081	25348082			임대+분양	위탁관리	계단식	지역난방	7	607	GS건설	반포한양아파트 주택재건축정비사업조합	2018-07-27 0:00:00	111291	51475	69777	162	291	148		sbpxi.xisnd.co.kr	2018-11-02 1:31:07	2022-09-10 23:56:13		위탁	종합계약	위탁	4667.65	981	의무	2020-09-28 14:59:53	Y	N	127.0082901	37.51087852	2020-09-28 10:44:20	2018	신반포 자이	서초	서리풀이 무성했던 곳	잠원	양잠소가 있던 데	잠원	양잠소가 있던 데	신반포 자이 아파트는 서울시 서초구 잠원동 잠원로에, 그러니까 서리풀이 무성했던 곳에 위치한, 양잠소가 있던 데에 자리하고 있다.	서래마을은 서초구의 대표적인 부촌으로 꼽힌다(사실 서초의 옛 지명인 \'서리풀\'을 따와서 만든 것이다). 그러나 반포자이가 들어서기 전까지 이곳 주민들에게도 잘 알려지지 않았고 심지어 지도에도 나오지 않아 외지인들이 보기에 거리감마저 들게 했다는 게 당시 현장의 증언이기도 하다. 그런데 왜 하필 여기일까? 그 이유와 역사적 배경 등 많은 궁금증이 풀렸을까?지금 생각해도 그때 만난 분들의 친절함이란 잊고 싶어도 잊혀지질 않는다! \"여기로 들어오세요\"라는 말 한 마디면 충분한데...그분들로부터 받은 감동이야 어찌 필설로 다 표현할 수 있겠는가?!아파트 단지 입구부터 범상치않음을 느꼈는데..마치 외국 어느 마을 같기도 하였지만 주변 경관도 좋아 고급 주택가의 분위기 였습니다만 바로 옆길에서 바라본 모습입니다.... 마치 유럽풍 전원주택단지 처럼 보였지요~~~이런 분위기의 동네라면 어디든지 살 맛 나겠다!!!ᄒ
18861	A10026470	힐스테이트서울숲리버	아파트	서울특별시 성동구 독서당로 344	서울	성동구	금호동4가		독서당로	344	222820584	222820084			임대+분양	위탁관리	혼합식	개별난방	15	606	현대건설	금호20주택재개발조합	2018-02-19 0:00:00	107557	47242	61809	237	255	86			2018-02-23 20:52:57	2022-09-12 5:25:56		위탁	종합계약	위탁	7631.67	757	의무	2018-03-23 11:00:19	Y	N	127.0257657	37.54644924	2018-02-23 20:52:57	2018	힐스테이트 서울숲 리버	성동	성곽의 동쪽	금호	대장간이 많았던 곳	독서당	세종대왕의 동호독서당이 있던 길	힐스테이트 서울숲 리버 아파트는 서울시 성동구 금호동4가 독서당로에, 그러니까 성곽의 동쪽에 위치한, 대장간이 많았던 곳이자 세종대왕의 동호독서당이 있던 길에 자리하고 있다.	\"저에게 숲은 제2외국어와 같아요\"라고 하며 이야기하는데 그 이유인즉슨 \'불가능 불가능\'할 것만 같이 보이지만 한 번 도전해보면 언젠가 가능해질지도 모를 일이기 때문이라고 한다. 그리고 바로 다음 문장에서 이렇게 말했다고 했단다. \"\'어떻게 생각해요?(What do you think)\'라는 질문으로 해석되기도 해요... 저에겐 지금까지 살아온 시간보다 앞으로 살아갈 날들이 훨씬 더 많이 남아서요 (Being grown up more than I have been living for so far!). 그래서 인생엔 한계도 없고 끝이란 게 존재해서 안 된다고 믿어요.. 하지만 사람들한테 늘 묻곤 한답니다.... 어떻게 살아야 할까요??\" 흠흠, 이런 얘기였던가 보다. 나로서야 그저 고개 끄덕이면서 들었으나 정작 당사자들의 마음 속에선 어떤 대답이 오갔을지 궁금해진다. 그러면서도 한편으론 참으로 기특하단 느낌마저 든다. 그래선가. 우리나라 청소년들 중 상당수가 대학입시에 목매달아 산다는 건 익히 알만한 사실이다.
7122	A10027687	마곡힐스테이트	아파트		서울특별시	강서구	마곡동	힐스테이트			226622603	226621860	2210		임대+분양	위탁관리	계단식	지역난방	8	603	현대건설	긴등마을주택재건축정비사업조합	2017-08-03 0:00:00	99266	48814	65627	158	393	52				2022-09-12 18:29:15		위탁+직영	종합계약	위탁+직영	7133.41	743	의무	2016-11-07 13:15:12	Y	N	126.818111	37.564067	2016-11-07 11:21:35	2017	마곡힐 스테이트	강서	강의 서쪽	마곡	삼을 많이 심었던 곳			마곡힐 스테이트 아파트는 서울시 강서구 마곡동 에, 그러니까 강의 서쪽에 위치한, 삼을 많이 심었던 곳이자 에 자리하고 있다.	마곡 힐스테이트 이야기가 나왔으니 말인데 \'나\'라는 화자(話者)와 그 가족의 삶은 서로 분리할 수 없다는 점에서 비슷하다고 할 것이다. 그런데 또 한 가지 다른점도 많은데 그것 중 하나가 바로 화자가 자신만이 아니라 상대방에게까지 시선 을 던지며 서술한다는 사실일 텐데 그렇다면 나/우리가족 그리고 우리집사람 등으로 표현되지 않았 던 인물들과의 관계망 속에서 나의 모습 혹은 내 주변 사람들의 실체 또는 성격 등이 더 잘 드러나게 된다. 그래서 지금부터 하려는 얘기들이 어쩌면 조금 낯설 수도 아니면 다소 생소하기 까지 하지만 그래도 나름대로 의미있는 시간 들이 될 거라고 생각한다. 먼저 이렇게 해보자! \"저어기~ 혹시 여기 살아요?\" 얼마 전 아내로부터 느닷없이 걸려온 전화였는데 대뜸 받자마자 던진 첫 마디 였 다. 그러고는 곧바로 다시 물었었지만 그때마다 돌아오는 대답이란 똑 같 았다 - 왜 묻는지 모르겠어요- 라는 게 전부였으니...... 이런 상황에선 뭐랄까 좀 당황스럽기도 했다가 민망해지기조차 했었으며 한편으론 정말 황당했달까?
40161	A10024420	강동리엔파크11단지	아파트	서울특별시 강동구 고덕로98길 101	서울	강동구	상일동		고덕로98길	101	24263630	24273630			임대	위탁관리	복도식	지역난방	3	600	신동아건설	서울주택도시공사	2021-02-15 0:00:00	43967	15532	43642	600	0	0			2021-02-24 21:08:47	2022-09-02 2:32:23		위탁	종합계약	위탁	3816.84	369	임대	2021-03-09 17:13:37	Y	N	127.144817	37.554724	2021-03-09 14:46:59	2021	강동 리엔파크 11단지	강동	강의 동쪽	상일	게 있는 개울의 위쪽	고덕	덕이 높은 곳	강동 리엔파크 11단지 아파트는 서울시 강동구 상일동 고덕로98길에, 그러니까 강의 동쪽에 위치한, 게 있는 개울의 위쪽이자 덕이 높은 곳에 자리하고 있다.	작해보자! 1) 왜 하필 \'강동구\'일까? 우리나라 대도시 중에서 인구가 가장 많기로 유명하기도 하며 여러 가지 면으로 서울특별시의 자치구중 하나지만 행정구역상 구(區), 즉 특별구로서 구청도 없으며 구청장 또한 존재치 않는다 (그래서 그런지 몰라도 다른 지역구의 국회의원들보다 유독 강동성심병원 출신 의원들의 활약도가 더 좋다고 한다). 그런 이유때문인지 서울특별시 산하 관공서나 공공기관들이 많이 모여있는 곳도 바로 이곳이다 보니 강동 주민분이나 아니면 근처에 사시는 분들에게 익숙할 것이라 생각된다.. 그런데 사실 내 고향이기도 한 강원도 인제군의 군청소재지였던 원통읍을 제외하면 이렇듯 특정지역명만을 사용하여 지은 명칭이 상당히 드물기 때문에 그 자체만 놓고도 재밌다는 느낌을 받았음은 물론이요, 또 한번 나 스스로 도시화가 되었구나라는 걸 실감했달까... 2-1 ) 리모델링 시기는 언제쯤인가?? 1992년 준공된 10층짜리 건물인데 이번 겨울부터 슬슬 변화되어가더니 요즘 한창 공사중이시다~!!
20081	A10026227	아크로리버뷰 신반포	아파트	서울특별시 서초구 잠원로 117	서울	서초구	잠원동	(잠원동 아크로리버뷰 신반포)	잠원로	117	25375194	25375196			분양	위탁관리	계단식	지역난방	5	595	(주)대림건설	신반포5차 아파트 주택재건축정비조합	2018-06-04 0:00:00	109026	48091	67035	0	595	0		https://cafe.naver.com/acroriverview117	2018-06-26 0:32:55	2022-09-10 23:58:18		위탁	종합계약	위탁	3889.98	890	의무	2018-11-30 11:10:29	Y	N	127.0060521	37.51355464	2018-06-26 0:32:55	2018	아크로 리버뷰 신반포	서초	서리풀이 무성했던 곳	잠원	양잠소가 있던 데	잠원	양잠소가 있던 데	아크로 리버뷰 신반포 아파트는 서울시 서초구 잠원동 잠원로에, 그러니까 서리풀이 무성했던 곳에 위치한, 양잠소가 있던 데에 자리하고 있다.	(서울=연합뉴스) 서미숙 기자 = \"엄마! 나도 서울에서 살고 싶어요\"(아들), \"(신도시를 만들면 집값이 올라요?).... 엄마!!! 저랑 같이 가서 공부해요!!...저 혼자 갈게요......아빠!!!! 안돼요!!!!!!!! 제 꿈은 간호사예요........ 아빠 제발 가지마세요~~~ᅲ_ ᅮ\" 지난 12일 오후 2시께 찾았다는 \'꿈꾸라\' 카페 게시판엔 이런 글들이 올라와있었습니다. 이곳에선 아이들의 교육문제와 관련된 학부모들간의 대화나 쪽지글 등이 오가는데요. 이날 오전부터 시작해 저녁까지 이어진 토론 주제 중 하나였다고 합니다. 아크로 리버파크 입주예정자 모임 인터넷카페 회원 10여명은 이날 낮 1시간30분 동안 열띤 찬반토론 끝에 찬성 쪽으로 결론내렸는데요. 한 입주민은 자신의 자녀에게 맞게 설계됐는지 직접 확인하겠다며 현장답사에도 나섰지만 결국 발길을 돌려야 했지요. 또 다른 주민 역시 최근 논란거리 가운데 하나인 교통 문제 등을 거론해가며 단지 내 학교 신설 여부를 물으며 관심을 보였고요.
